Isin,Mkt,Codice,Bloomberg Code,VOLUME_AVG_30D
LU1327051279,ETF,SPX2S,SPX2S IM Equity,"56,338.80"
LU0136234068,ETF,E50EUA,E50EUA IM Equity,"54,524.57"
FBTS201903,Eurex,,BTSH9 Comdty,"53,347.17"
JE00B2QXZK10,ETF,COCO,COCO IM Equity,"52,295.30"
IE00BYZK4883,ETF,DGTL,DGTL IM Equity,"51,932.43"
IT0005188336,MTA,ELN,ELN IM Equity,"51,717.70"
IE00B4613386,ETF,EMLD,EMLD IM Equity,"51,593.17"
LU1645385839,ETF,SHEMB,SHEMB IM Equity,"51,458.27"
IE00B53L3W79,ETF,CSSX5E,CSSX5E IM Equity,"50,791.27"
DE000VN9BMB9,SDX,FCC17L,AN913659@SEDX Corp,"50,352.97"
IT0003428445,MTA,MARR,MARR IM Equity,"49,932.87"
LU0977261329,ETF,SW2CHB,SW2CHB IM Equity,"48,172.20"
LU0977260941,ETF,S2EUBH,S2EUBH IM Equity,"48,059.13"
IE00B1FZS681,ETF,IBGX,IBGX IM Equity,"47,725.40"
IE00BYTYHR65,ETF,3BRS,3BRS IM Equity,"47,723.13"
IE00B66F4759,ETF,IHYG,IHYG IM Equity,"46,232.30"
IT0004967292,MTA,FILA,FILA IM Equity,"45,564.57"
IE00B8FHGS14,ETF,MVOL,MVOL IM Equity,"44,685.93"
LU0380865021,ETF,XESC,XESC IM Equity,"44,446.10"
FDXM201903,Eurex,,DFWH9 Comdty,"44,374.17"
IE00BQN1K786,ETF,IEMO,IEMO IM Equity,"43,934.27"
FR0010791194,ETF,C2U,C2U IM Equity,"43,835.17"
JE00B2NFV134,ETF,LPLA,LPLA IM Equity,"42,997.54"
DE000VN9DZW3,SDX,FLV016,AS977539@SEDX Corp,"42,913.13"
IE00B1XNHC34,ETF,INRG,INRG IM Equity,"41,152.60"
IT0004195308,MTA,MOL,MOL IM Equity,"41,081.77"
NL0012663892,SDX,P63892,AW637542@EXCH Corp,"40,393.13"
IE00BC7GZW19,ETF,SEUC,SEUC IM Equity,"40,029.27"
IT0005282865,MTA,REY,REY IM Equity,"38,821.40"
FGBX201903,Eurex,,UBH9 Comdty,"38,284.80"
JE00BYQY5Q48,ETF,3NIS,3NIS IM Equity,"37,507.54"
LU1048317025,ETF,CBUSE,CBUSE IM Equity,"37,334.93"
IT0004053440,MTA,DAL,DAL IM Equity,"37,288.04"
IT0004171440,MTA,ZV,ZV IM Equity,"36,928.57"
LU0496786574,ETF,SPX,SPX IM Equity,"36,680.67"
IE00B9M6RS56,ETF,EMBE,EMBE IM Equity,"36,654.80"
LU1130155606,ETF,CAHEUA,CAHEUA IM Equity,"35,912.80"
JE00B24DKC09,ETF,SBUL,SBUL IM Equity,"35,148.63"
IE00B8NB3063,ETF,3ITL,3ITL IM Equity,"34,960.54"
IE00BYZK4669,ETF,AGED,AGED IM Equity,"34,630.37"
LU0950672476,ETF,JPEUBH,JPEUBH IM Equity,"34,384.73"
LU1540726830,SDX,SBRE7L,AM597988@SEDX Corp,"33,474.17"
